Node	X Location (m)	Y Location (m)	Z Location (m)	
294	0.15811	4.9191e-002	4.5836e-002	
295	0.15264	3.8239e-002	4.6418e-002	
296	0.15017	4.4649e-002	4.7324e-002	
297	0.14854	2.9102e-002	4.6243e-002	
298	0.14743	3.3345e-002	4.6972e-002	
299	0.14826	5.17e-002	4.8935e-002	
300	0.1531	5.5569e-002	4.7723e-002	
301	0.16185	8.2994e-002	4.3794e-002	
302	0.15545	9.5812e-002	4.5414e-002	
303	0.16025	9.9928e-002	4.1531e-002	
304	0.15306	8.0635e-002	4.8731e-002	
305	0.15746	8.4927e-002	4.5838e-002	
306	0.13801	0.15207	3.4892e-002	
307	0.14668	0.13719	3.8795e-002	
308	0.14235	0.14463	3.6843e-002	
309	0.14622	0.14225	3.4739e-002	
310	0.13737	0.14395	4.3007e-002	
311	0.15123	0.13269	3.7115e-002	
312	0.14215	0.12817	4.7318e-002	
313	0.14896	0.12818	4.1377e-002	
314	0.14442	0.13268	4.3056e-002	
315	0.12197	0.167	2.7487e-002	
316	0.11326	0.17155	2.1421e-002	
317	0.13141	0.15986	3.1147e-002	
318	0.12669	0.16343	2.9317e-002	
319	0.11839	0.16307	3.9464e-002	
320	0.12018	0.16503	3.3476e-002	
321	0.1249	0.16146	3.5305e-002	
322	0.12972	0.15443	4.0646e-002	
323	0.11149	0.17049	2.9981e-002	
324	0.10802	0.17329	2.2668e-002	
325	5.4249e-002	0.17762	7.9231e-003	
326	4.3648e-002	0.17265	1.5403e-002	
327	5.417e-002	0.17074	2.2314e-002	
328	4.3983e-002	0.16943	1.8921e-002	
329	4.1044e-002	0.16924	1.9252e-002	
330	3.8476e-002	0.16493	2.35e-002	
331	4.5948e-002	0.16715	2.2001e-002	
332	3.4449e-002	0.16339	2.5132e-002	
333	3.8951e-002	0.16255	2.5548e-002	
334	3.4847e-002	0.16077	2.7087e-002	
335	3.1245e-002	0.16011	2.8034e-002	
336	3.6883e-002	0.16164	2.6307e-002	
337	3.573e-002	0.159	2.8336e-002	
338	3.2633e-002	0.1578	2.9541e-002	
339	2.9177e-002	0.15565	3.1406e-002	
340	2.667e-002	0.15195	3.4104e-002	
341	3.2398e-002	0.15548	3.1144e-002	
342	2.9508e-002	0.15274	3.3238e-002	
343	2.2595e-002	0.15016	3.5636e-002	
344	2.8112e-002	0.14777	3.6363e-002	
345	2.2741e-002	0.14487	3.8544e-002	
346	2.5255e-002	0.14687	3.7179e-002	
347	2.4548e-002	0.14138	4.0047e-002	
348	2.1019e-002	0.13689	4.2476e-002	
349	2.7093e-002	0.14352	3.874e-002	
350	2.6384e-002	0.13788	4.1502e-002	
351	2.1108e-002	0.13309	4.3957e-002	
