Node	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
572	2.857e-002	0.13422	4.3613e-002	25.088
573	2.8275e-002	0.12573	4.7265e-002	25.216
574	2.8269e-002	0.1314	4.4949e-002	25.127
575	2.755e-002	0.11815	4.8945e-002	25.286
576	2.8354e-002	0.12291	4.8425e-002	25.26
577	2.6295e-002	0.10866	4.9855e-002	25.313
578	2.8055e-002	0.11531	4.9751e-002	25.342
579	2.696e-002	0.1035	5.047e-002	25.363
580	2.7304e-002	0.10582	5.0381e-002	25.374
581	3.0478e-002	9.7288e-002	5.186e-002	25.557
582	2.9355e-002	0.10013	5.1398e-002	25.5
583	3.4164e-002	8.875e-002	5.3065e-002	25.729
584	3.8547e-002	7.8321e-002	5.2648e-002	25.86
585	3.8876e-002	8.0217e-002	5.3592e-002	25.914
586	5.1535e-002	7.0139e-002	5.7667e-002	26.358
587	6.7629e-002	6.0527e-002	5.8389e-002	26.699
588	6.5558e-002	6.3489e-002	5.951e-002	26.737
589	3.9933e-002	7.3573e-002	5.1844e-002	25.842
590	3.8049e-002	7.6412e-002	5.1888e-002	25.79
591	6.9617e-002	5.7193e-002	5.6814e-002	26.618
592	7.7902e-002	5.5538e-002	5.7927e-002	26.699
593	0.11546	6.3942e-002	6.0474e-002	26.473
594	0.11417	5.7335e-002	5.8324e-002	26.252
595	0.10647	6.0695e-002	6.0892e-002	26.667
596	0.10968	5.5711e-002	5.8533e-002	26.325
597	9.7552e-002	5.6268e-002	5.8968e-002	26.695
598	8.0751e-002	5.7324e-002	5.9329e-002	26.823
599	0.13201	7.8828e-002	5.8484e-002	26.14
600	0.13861	8.1276e-002	5.5513e-002	25.861
601	0.12016	7.9157e-002	6.3172e-002	26.703
602	0.12161	6.9745e-002	6.0366e-002	26.417
603	0.12651	7.4846e-002	5.9986e-002	26.321
604	0.12926	0.1067	6.1919e-002	26.22
605	0.13446	0.1099	5.7731e-002	25.998
606	0.13426	0.1055	5.8493e-002	26.067
607	0.13453	8.5764e-002	5.7748e-002	26.112
608	0.12264	0.12653	6.5048e-002	25.889
609	0.11977	0.14196	6.1337e-002	25.562
610	0.12357	0.14347	5.6651e-002	25.488
611	0.1147	0.15226	5.7686e-002	25.388
612	0.11805	0.15381	5.2737e-002	25.325
613	0.11895	0.14674	5.8691e-002	25.469
614	0.125	0.11882	6.4367e-002	26.047
615	0.12749	0.124	6.1025e-002	25.889
616	9.1251e-002	0.17015	4.4579e-002	25.087
617	9.9306e-002	0.16736	4.5661e-002	25.132
618	0.1035	0.16254	5.2995e-002	25.244
619	7.6506e-002	0.17212	3.9759e-002	25.007
620	7.8297e-002	0.17404	3.3129e-002	24.926
621	4.7327e-002	0.16385	3.314e-002	24.905
622	5.3913e-002	0.16506	4.1205e-002	25.012
623	5.5669e-002	0.16772	3.5742e-002	24.943
624	5.9494e-002	0.16788	4.0742e-002	25.006
625	6.5106e-002	0.17062	3.688e-002	24.967
626	4.3097e-002	0.16192	2.8166e-002	24.824
627	4.1887e-002	0.15905	3.2875e-002	24.908
628	3.8448e-002	0.15424	3.5046e-002	24.948
629	3.5339e-002	0.14949	3.7032e-002	24.979
630	3.4684e-002	0.14575	4.0895e-002	25.062
631	3.3804e-002	0.14285	4.2549e-002	25.102
632	3.1702e-002	0.13813	4.3931e-002	25.131
633	3.2976e-002	0.14003	4.4249e-002	25.14
634	2.8235e-002	0.12859	4.6191e-002	25.173
635	2.8609e-002	0.12008	4.9403e-002	25.313
636	2.7576e-002	0.11056	5.0112e-002	25.362
637	2.8588e-002	0.11247	5.058e-002	25.396
638	2.8314e-002	0.10296	5.0777e-002	25.438
639	3.1098e-002	9.9194e-002	5.2562e-002	25.593
640	3.1659e-002	9.4446e-002	5.2249e-002	25.62
641	3.2884e-002	9.1594e-002	5.2689e-002	25.68
642	3.4532e-002	9.0666e-002	5.3945e-002	25.764
643	3.7225e-002	8.3065e-002	5.3476e-002	25.855
644	3.5608e-002	8.5916e-002	5.3283e-002	25.794
645	6.3091e-002	6.8235e-002	6.2366e-002	26.736
646	4.2337e-002	7.2623e-002	5.2627e-002	25.967
647	4.9114e-002	7.6488e-002	6.0044e-002	26.327
648	0.11781	7.155e-002	6.1823e-002	26.638
649	8.995e-002	6.4072e-002	6.3766e-002	27.123
650	9.8209e-002	6.2384e-002	6.2329e-002	26.972
651	8.9293e-002	5.7957e-002	6.0405e-002	26.874
652	8.1408e-002	6.344e-002	6.269e-002	27.09
653	0.12608	7.8993e-002	6.0828e-002	26.426
654	0.13315	9.9697e-002	5.9466e-002	26.172
655	0.12908	9.5189e-002	6.1686e-002	26.366
656	0.13055	8.7009e-002	6.0085e-002	26.303
657	0.11825	0.13668	6.5591e-002	25.678
658	0.12047	0.10821	6.7611e-002	26.4
659	0.12587	0.11261	6.3587e-002	26.198
660	8.6044e-002	0.17172	3.9902e-002	25.032
661	8.1903e-002	0.17322	3.6766e-002	24.977
662	8.4334e-002	0.16801	4.9993e-002	25.149
663	9.5847e-002	0.16629	4.8368e-002	25.176
664	8.3879e-002	0.17113	4.2169e-002	25.055
665	9.3917e-002	0.16527	5.1494e-002	25.212
666	0.10866	0.15513	5.9846e-002	25.369
667	6.4209e-002	0.16855	4.3154e-002	25.038
668	6.7464e-002	0.17096	3.8086e-002	24.982
669	7.0358e-002	0.17033	4.1456e-002	25.028
670	4.4002e-002	0.16182	3.0387e-002	24.867
671	4.5858e-002	0.16039	3.9034e-002	24.993
672	4.002e-002	0.15708	3.288e-002	24.908
673	4.4388e-002	0.16039	3.5789e-002	24.95
674	4.0085e-002	0.1562	3.5158e-002	24.948
675	3.698e-002	0.15142	3.7123e-002	24.986
676	3.8547e-002	0.15334	3.7275e-002	24.988
677	3.5778e-002	0.1486	3.9048e-002	25.024
678	3.4181e-002	0.14665	3.8895e-002	25.017
679	3.5043e-002	0.14482	4.2925e-002	25.103
680	3.4142e-002	0.14196	4.4645e-002	25.141
681	3.1174e-002	0.13528	4.542e-002	25.17
682	3.2288e-002	0.13722	4.5856e-002	25.176
683	2.9894e-002	0.13331	4.5028e-002	25.155
684	2.9505e-002	0.12766	4.7644e-002	25.241
685	2.9604e-002	0.13047	4.6357e-002	25.196
686	2.8952e-002	0.11722	5.0265e-002	25.363
687	2.9539e-002	0.12199	4.9926e-002	25.329
688	2.9492e-002	0.1248	4.8768e-002	25.284
689	2.8347e-002	0.10771	5.074e-002	25.418
690	2.9356e-002	0.11437	5.1178e-002	25.415
691	3.2169e-002	9.6358e-002	5.3055e-002	25.653
692	3.0088e-002	0.10203	5.199e-002	25.536
693	3.1535e-002	0.10111	5.3451e-002	25.611
694	3.5886e-002	8.7823e-002	5.4241e-002	25.823
695	4.0448e-002	7.5469e-002	5.2639e-002	25.921
696	4.0675e-002	7.8331e-002	5.4174e-002	25.987
697	3.9e-002	8.2139e-002	5.4624e-002	25.944
698	3.7372e-002	8.4975e-002	5.4509e-002	25.882
699	5.6979e-002	7.1935e-002	6.2001e-002	26.576
700	6.7196e-002	7.1488e-002	6.5627e-002	26.885
701	4.5099e-002	7.4548e-002	5.5814e-002	26.151
702	5.8428e-002	7.736e-002	6.5804e-002	26.628
703	5.4981e-002	7.3749e-002	6.1735e-002	26.529
704	0.10045	7.0736e-002	6.5813e-002	27.202
705	0.11031	7.4946e-002	6.4493e-002	27.059
706	0.10795	6.7339e-002	6.3144e-002	26.891
707	0.10346	6.5715e-002	6.3353e-002	26.967
708	9.5201e-002	6.7404e-002	6.4789e-002	27.209
709	8.16e-002	7.119e-002	6.7297e-002	27.226
710	7.7233e-002	6.6998e-002	6.4455e-002	27.108
711	0.12462	8.7173e-002	6.2429e-002	26.591
712	0.11487	0.12647	7.1354e-002	25.912
713	0.11833	0.12341	6.909e-002	25.987
714	0.11427	0.14463	6.4591e-002	25.538
715	0.12027	0.11698	6.7962e-002	26.154
716	0.12069	9.8601e-002	6.6632e-002	26.618
717	0.12497	0.10265	6.4275e-002	26.43
718	8.042e-002	0.17006	4.4876e-002	25.084
719	9.3049e-002	0.16321	5.7105e-002	25.259
720	9.9248e-002	0.15906	6.1301e-002	25.325
721	0.11147	0.14988	6.2219e-002	25.456
722	6.8338e-002	0.16657	4.9994e-002	25.121
723	7.2422e-002	0.16935	4.4877e-002	25.072
724	4.7461e-002	0.15946	4.3869e-002	25.054
725	5.7853e-002	0.16412	4.7517e-002	25.088
726	4.1838e-002	0.15816	3.5157e-002	24.945
727	3.7219e-002	0.15051	3.9257e-002	25.026
728	3.608e-002	0.14766	4.1122e-002	25.065
729	3.5492e-002	0.14345	4.6028e-002	25.155
730	3.449e-002	0.14105	4.6683e-002	25.175
731	2.9712e-002	0.11916	5.1003e-002	25.375
732	3.0425e-002	0.12108	5.17e-002	25.379
733	2.9203e-002	0.10488	5.1376e-002	25.478
734	2.9174e-002	0.10963	5.1409e-002	25.449
735	2.9841e-002	0.11155	5.2119e-002	25.466
736	3.309e-002	9.8594e-002	5.4754e-002	25.691
737	3.33e-002	9.3513e-002	5.3514e-002	25.71
738	3.6815e-002	9.1961e-002	5.7044e-002	25.863
739	3.6077e-002	8.9734e-002	5.5246e-002	25.838
740	4.1912e-002	8.1198e-002	5.6979e-002	26.07
741	3.8104e-002	8.7841e-002	5.666e-002	25.923
742	7.2725e-002	7.3093e-002	6.7535e-002	27.047
743	4.251e-002	7.4532e-002	5.3644e-002	26.023
744	5.055e-002	8.0648e-002	6.3406e-002	26.37
745	4.3136e-002	7.7389e-002	5.5888e-002	26.095
746	0.10831	7.7135e-002	6.644e-002	27.123
747	0.11423	7.8146e-002	6.4806e-002	26.94
748	9.1957e-002	7.4726e-002	6.8621e-002	27.332
749	0.11517	8.6578e-002	6.6793e-002	26.94
750	0.12213	9.0883e-002	6.424e-002	26.692
751	0.11331	0.13614	7.0196e-002	25.691
